video_id,gloss
1,hello you how?
2,Home welcome
3,family big
4,mother food cook
5,boy short
6,girl hungry
7,marraige today
8,aunty plants water
9,uncle fruits get
10,grandfather sick
11,grand mother market go
12,grandmother market go will
13,before grand mother market go finish
14,baby cute
15,both just seperate
16,they apply divorce
17,we place see go  which
18,i home reach very late
19,this work my not
20,this day i inform you
21,we night go out
22,we this week holiday
23,christmas month celebration
24,this year  feb 29 date leap not
25,raju first come tanu after
26,first him eat after i eat
28,you work finish
29,furnac machine near temperature hot
30,hot very here
31,food taste good
32,it cold coffee
33,pune cold
34,pizza food healthy not
35,milk health good
36,children milk drink like
37,coffee hot
38,curd sweet
39,egg white
40,my bag color blue
41,dress color green
43,eyescolor black
44,i black coffe like
45,she money not
46,apple in vitamin-mineral have
47,cheese topings good
48,he drink more
49,she live life like queen
50,i fruit fork eat
51,Cup color white light
52,cereals protein have
53,water  cold
54,cookies stale
55,cookies fresh
56,clothes old
57,shirt white
58,pants  old
59,socks torn
60,shoes dirty
61,Health important
62,your hands wash
63,i her give ten rupees have
64,Money american use dollars
65,coins many too
66,tickets cost  what
67,i paisa five have
68,there zoo in animals many
69,Cat  apet animal
70,dog  pet animal
71,birds sky fly
72,i  bathroom go
73,my teeth brush
74,her  teeth  broke
75,sleep well
76,his hair  comb will
77,room in sun  light
79,your Teeth clean
80,floor clean
81,this comb  wooden
